№,Gender,Age,Learned?,condition,part,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,c80-70-70,test1,test2,Test-av
1_2018_02_16_1945,f,26,yes,direct,head,0.8,0.6,0.7,0.9,1,1,1,1,0.9,1,4,1,1,1
3_2018_02_16_2005,f,23,yes,direct,head,0.4,0.6,1,1,1,1,1,1,1,1,3,1,1,1
5_2018_02_16_2023,f,20,yes,direct,head,0.8,0.8,0.7,0.6,0.8,0.8,0.8,0.9,0.9,1,5,0.7,0.8,0.75
13_2018_02_21_1115,f,19,yes,direct,head,0.2,0.8,1,1,1,1,1,1,1,1,2,1,1,1
26_2018_02_21_1223,f,22,yes,direct,head,0.6,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,2,1,1,1
33_2018_Feb_21_1312,f,19,yes,direct,head,0.8,0.9,1,1,1,1,1,1,1,1,1,1,1,1
51_2018_Feb_21_1704,m,19,yes,direct,head,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1,3,1,1,1
55_2018_04_04_1156,f,19,yes,direct,head,0.4,1,1,1,1,0.9,1,1,1,1,2,1,1,1
61_2018_04_04_1300,f,19,yes,direct,head,0.8,1,1,1,1,0.9,0.9,1,1,1,1,1,1,1
64_2018_04_04_1325,f,18,yes,direct,head,0.7,0.8,0.9,0.8,0.7,0.9,0.7,0.8,1,1,2,0.9,1,0.95
67_2018_04_04_1352,f,19,yes,direct,head,0.6,0.8,1,0.8,0.9,1,1,1,1,0.9,2,1,1,1
70_2018_04_04_1420,f,18,yes,direct,head,0.6,0.8,1,1,1,0.9,1,1,1,1,2,1,1,1
74_2018_04_04_1458,f,20,yes,direct,head,0.2,0.4,0.2,0.3,0.7,0.8,1,1,1,1,6,1,1,1
88_2018_04_04_1721,f,19,yes,direct,head,0.5,0.7,0.8,0.7,0.4,0.7,0.8,0.8,0.8,0.8,7,0.2,0.3,0.25
93_2018_04_11_1518,f,19,yes,direct,head,0.3,0.3,0.9,0.8,0.9,1,1,1,1,1,3,1,1,1
41_2018_02_21_1610,f,19,yes,direct,head,0.6,0.9,0.9,0.8,0.8,1,0.8,0.8,0.7,0.9,2,0.4,0.5,0.45
4_2018_02_16_2014,m,23,yes,opposite,head,0.3,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3,0.2,0.2,0.2
39_2018_Feb_21_1352,f,18,yes,opposite,head,0.5,0.7,1,0.9,1,1,1,1,1,1,3,1,1,1
42_2018_Feb_21_1619,f,18,yes,opposite,head,0.5,0.4,0.9,1,1,0.8,0.8,0.9,0.9,1,3,0,0,0
57_2018_04_04_1208,f,19,yes,opposite,head,0.9,1,1,1,0.9,1,1,1,1,1,1,1,1,1
78_2018_04_04_1546,f,19,yes,opposite,head,0.4,0.5,1,0.9,1,0.9,0.9,1,0.9,1,2,1,0.9,0.95
82_2018_04_11_1215,m,21,yes,opposite,head,0.8,1,1,0.8,0.9,1,0.9,1,1,1,1,1,1,1
87_2018_04_04_1730,f,19,yes,opposite,head,0.6,0.9,0.9,0.9,1,1,1,1,1,1,2,1,1,1
95_2018_04_20_1343,f,19,yes,opposite,head,0.8,1,1,1,0.9,1,0.9,1,1,0.9,1,1,1,1
99_2018_Apr_20_1417,f,20,yes,opposite,head,0.7,1,1,0.9,1,1,1,1,0.9,1,2,1,1,1
100_2018_04_11_1653,f,20,yes,opposite,head,0.6,0.7,0.8,0.9,0.9,0.9,0.9,1,1,1,3,0.3,0.4,0.35
15_2018_02_21_1126,f,19,yes,opposite,head,0.6,0.5,0.7,0.5,0.7,0.5,0.8,0.7,1,0.9,7,0.6,0.3,0.45
91_2018_04_20_1132,f,19,yes,opposite,head,0.4,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.7,5,0.3,0.4,0.35
43_2018_02_21_1623,f,19,yes,opposite,head,0.4,0.6,0.7,0.9,0.7,0.7,0.8,0.8,0.7,1,4,0,0,0
20_2018_Feb_21_1149,f,20,yes,direct,tail,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.8,0.8,5,0.2,0.2,0.2
29_2018_Feb_21_1247,f,22,yes,direct,tail,0.4,0.7,0.5,0.8,0.8,0.5,0.8,0.8,0.8,0.8,7,0.2,0.2,0.2
56_2018_04_04_1216,f,19,yes,direct,tail,0.8,0.9,1,0.9,1,1,1,1,1,1,1,1,1,1
59_2018_04_04_1236,f,19,yes,direct,tail,0.7,1,1,0.9,0.9,1,1,1,1,1,2,1,1,1
62_2018_04_04_1310,f,19,yes,direct,tail,0.7,0.7,0.9,1,1,1,1,1,1,1,4,1,0.9,0.95
65_2018_04_04_1334,f,19,yes,direct,tail,0.7,0.4,0.4,0.8,0.9,1,1,1,1,1,4,1,1,1
