subject,condition,block,accuracy
1_2018_02_16_1945,1,-3,0.8
1_2018_02_16_1945,1,-2,0.6
1_2018_02_16_1945,1,-1,0.7
1_2018_02_16_1945,1,0,0.9
1_2018_02_16_1945,1,1,1
1_2018_02_16_1945,1,2,1
1_2018_02_16_1945,1,3,1
1_2018_02_16_1945,1,4,1
1_2018_02_16_1945,1,5,0.9
1_2018_02_16_1945,1,6,1
100_2018_04_11_1653,0,-2,0.6
100_2018_04_11_1653,0,-1,0.7
100_2018_04_11_1653,0,0,0.8
100_2018_04_11_1653,0,1,0.9
100_2018_04_11_1653,0,2,0.9
100_2018_04_11_1653,0,3,0.9
100_2018_04_11_1653,0,4,0.9
100_2018_04_11_1653,0,5,1
100_2018_04_11_1653,0,6,1
100_2018_04_11_1653,0,7,1
12_2018_Feb_21_1100,1,-7,0.6
12_2018_Feb_21_1100,1,-6,0.7
12_2018_Feb_21_1100,1,-5,0.7
12_2018_Feb_21_1100,1,-4,0.6
12_2018_Feb_21_1100,1,-3,0.7
12_2018_Feb_21_1100,1,-2,0.5
12_2018_Feb_21_1100,1,-1,0.7
12_2018_Feb_21_1100,1,0,0.8
12_2018_Feb_21_1100,1,1,0.7
12_2018_Feb_21_1100,1,2,0.8
13_2018_02_21_1115,1,-1,0.2
13_2018_02_21_1115,1,0,0.8
13_2018_02_21_1115,1,1,1
13_2018_02_21_1115,1,2,1
13_2018_02_21_1115,1,3,1
13_2018_02_21_1115,1,4,1
13_2018_02_21_1115,1,5,1
13_2018_02_21_1115,1,6,1
13_2018_02_21_1115,1,7,1
13_2018_02_21_1115,1,8,1
15_2018_02_21_1126,0,-6,0.6
15_2018_02_21_1126,0,-5,0.5
15_2018_02_21_1126,0,-4,0.7
15_2018_02_21_1126,0,-3,0.5
15_2018_02_21_1126,0,-2,0.7
15_2018_02_21_1126,0,-1,0.5
15_2018_02_21_1126,0,0,0.8
15_2018_02_21_1126,0,1,0.7
15_2018_02_21_1126,0,2,1
15_2018_02_21_1126,0,3,0.9
20_2018_Feb_21_1149,1,-4,0.5
20_2018_Feb_21_1149,1,-3,0.5
20_2018_Feb_21_1149,1,-2,0.6
20_2018_Feb_21_1149,1,-1,0.7
20_2018_Feb_21_1149,1,0,0.8
20_2018_Feb_21_1149,1,1,0.7
20_2018_Feb_21_1149,1,2,0.8
20_2018_Feb_21_1149,1,3,0.8
20_2018_Feb_21_1149,1,4,0.8
20_2018_Feb_21_1149,1,5,0.8
23_2018_02_21_1212,0,-6,0.5
23_2018_02_21_1212,0,-5,0.7
23_2018_02_21_1212,0,-4,0.6
23_2018_02_21_1212,0,-3,0.9
23_2018_02_21_1212,0,-2,0.7
23_2018_02_21_1212,0,-1,0.6
23_2018_02_21_1212,0,0,0.9
23_2018_02_21_1212,0,1,1
23_2018_02_21_1212,0,2,1
23_2018_02_21_1212,0,3,1
26_2018_02_21_1223,1,-1,0.6
26_2018_02_21_1223,1,0,0.8
26_2018_02_21_1223,1,1,0.8
26_2018_02_21_1223,1,2,0.8
26_2018_02_21_1223,1,3,0.8
26_2018_02_21_1223,1,4,0.8
26_2018_02_21_1223,1,5,0.8
26_2018_02_21_1223,1,6,1
26_2018_02_21_1223,1,7,1
26_2018_02_21_1223,1,8,1
29_2018_Feb_21_1247,1,-6,0.4
29_2018_Feb_21_1247,1,-5,0.7
29_2018_Feb_21_1247,1,-4,0.5
29_2018_Feb_21_1247,1,-3,0.8
29_2018_Feb_21_1247,1,-2,0.8
29_2018_Feb_21_1247,1,-1,0.5
29_2018_Feb_21_1247,1,0,0.8
29_2018_Feb_21_1247,1,1,0.8
29_2018_Feb_21_1247,1,2,0.8
29_2018_Feb_21_1247,1,3,0.8
3_2018_02_16_2005,1,-2,0.4
3_2018_02_16_2005,1,-1,0.6
3_2018_02_16_2005,1,0,1
3_2018_02_16_2005,1,1,1
3_2018_02_16_2005,1,2,1
3_2018_02_16_2005,1,3,1
